bio;computeEnabled;control;id;isActive;corr;corr20d;corr20dRank;fnc;fncRank;mmc;mmcRank;prevCorr20dRank;prevFncRank;prevMmcRank;prevRank;rank;oneDay;oneYear;threeMonths;linkText;linkUrl;bronze;gold;silver;corrMultiplier;mmcMultiplier;takeProfit;startDate;team;username
numerai or die.;False;0.0010654459727387653;aa5a1f12-487f-4ede-9c0e-f2708f622f24;True;1;0;0;66;;16;0;0;;;;;-0.8042441280832353;;55.6650295828676;;;;;;1.0;2.0;True;04/24/2020 01:37:28;False;ageonsen
"Japanese Ph.D student
Sell this model (ipynb) for 0.5ETH (+0.5ETH full support)
Twitter: @dera2774";False;0.0;453dfd0a-c716-4166-b617-69f051bbe7bf;False;2;0;0;19;;15;0;0;;;;;;;;twitter;https://twitter.com/dera2774;;;;;;False;01/24/2021 13:36:34;False;dera_m3
"Surfing Market Waves ";False;1.301898496320532e-4;0fe8068e-6f7c-45b4-8e59-cd4796d6452f;True;3;0;0;45;;18;0;0;;;;;-5.6707809878992395;396.793852180901;33.2267232533685;Diagnostics;https://imgur.com/a/PuiaWGa;;;;1.0;2.0;False;06/14/2019 05:25:24;False;beachcapital
;False;9.988782231056526e-4;59cf4ecc-ae9a-4487-ad2e-1a7fb94eb537;True;4;0;0;97;;47;0;0;;;;;-2.927015336573331;;25.8370787281085;;;;;;1.0;2.0;False;05/17/2020 03:43:03;False;mercuryai
;False;0.0;85b6a3f9-4b09-433f-95a0-c85e37d4f9ef;False;5;0;0;112;;1;0;0;;;;;;;;;;;;;1.0;1.0;False;05/12/2018 10:05:26;False;dlkl0
;False;0.0;cd2d8830-f7b9-4d7a-98ad-f53a928694ff;False;6;0;0;111;;133;0;0;;;;;;;;;;;;;1.0;2.0;False;03/29/2021 10:16:34;False;sorosbaerentz
;False;0.0;c38aee2c-110c-4776-aeba-7b743b4933d5;False;7;0;0;15;;29;0;0;;;;;;;;;;;;;;;False;01/20/2021 09:37:13;False;aithia7
;False;5.475104077078687e-8;7cffc7e2-3baa-4b48-b6db-4eb865091be1;True;8;0;0;29;;156;0;0;;;;;-6.896103557498147;;27.9477340697443;;;;;;1.0;2.0;False;06/21/2020 13:03:04;False;wwmodel9
;False;3.5640413217693546e-5;39a24a3a-0e4f-4ab5-9f5f-b32d66c1c1be;True;9;0;0;33;;169;0;0;;;;;-6.896103557498148;;26.0707726174264;;;;;;1.0;2.0;False;10/25/2020 12:01:16;False;optimisedlive1
;False;0.0013329643151765566;14306c02-d6e9-4e8f-b71f-bf2e4ee65017;True;10;0;0;60;;79;0;0;;;;;-0.5194426481650469;463.582479781576;26.8634080718772;;;;;;1.0;0.5;False;08/13/2020 22:50:41;False;cash_me_outside
"🇷🇴 ";False;1.1758689331669488e-4;00ca0f3c-292e-40bc-abdb-d229014c42fb;True;11;0;0;317;;87;0;0;;;;;-3.936284512394916;;31.3630031568556;Twitter;https://twitter.com/hydration_ds;;;;1.0;2.0;False;11/16/2020 03:24:08;False;hydration9
