bonusPerc;leaderboardBonus;nmrStaked;payoutPending;payoutSettled;prevRank;prevStakedRank;rank;reputation;stakedRank;tier;username
5;0.000000000000000000;556.737354022026400000;-4.624794431729254000;-4.624794431729254000;4;3;1;0.0;1;S+;ageonsen
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;1;;2;0.0;;?;dera_m3
4;0.000000000000000000;68.029308157558150000;-3.804224223840374000;-3.804224223840374000;2;1;3;0.0;2;S;beachcapital
4;0.000000000000000000;521.953091147885500000;-15.136627031143847000;-15.136627031143847000;3;2;4;0.0;3;S;mercuryai
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;5;;5;0.0;;?;dlkl0
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;6;;6;0.0;;?;sorosbaerentz
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;8;;7;0.0;;?;aithia7
4;0.000000000000000000;0.028609568526806736;-0.001948176646961586;-0.001948176646961586;7;4;8;0.0;4;S;wwmodel9
4;0.000000000000000000;18.623515277893368000;-1.269458313319361000;-1.269458313319361000;9;5;9;0.0;5;S;optimisedlive1
4;0.000000000000000000;696.526191684367300000;-3.707232745121861000;-3.707232745121861000;28;20;10;0.0;6;S;cash_me_outside
4;0.000000000000000000;61.443768645093215000;-2.412982766189365700;-2.412982766189365700;13;7;11;0.0;7;S;hydration9
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;11;;12;0.0;;?;aithia4
4;0.000000000000000000;151.369916999448700000;-5.619758194425144500;-5.619758194425144500;14;8;13;0.0;8;S;lazer_004
4;0.000000000000000000;2.208088544734909200;-0.145813829909311830;-0.145813829909311830;15;9;14;0.0;9;S;nopaixxbase
4;0.000000000000000000;383.933855734739600000;-31.028813447422888000;-31.028813447422888000;12;6;15;0.0;10;S;dera414
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;10;;16;0.0;;?;aithia6
3;0.000000000000000000;40.019714921857340000;-0.141216771520206100;-0.141216771520206100;54;44;17;0.0;11;A;dies
3;0.000000000000000000;276.474581147675600000;-11.612651721749332000;-11.612651721749332000;17;11;18;0.0;12;A;lazer_003
3;0.000000000000000000;38.685020363900140000;-1.800105673783249300;-1.800105673783249300;16;10;19;0.0;13;A;lazer_102
3;0.000000000000000000;0.016404683221604162;-0.000209483024639171;-0.000209483024639171;45;36;20;0.0;14;A;celia14
3;0.000000000000000000;111.458637428044430000;-4.016186958846895500;-4.016186958846895500;19;13;21;0.0;15;A;lazer_002
3;0.000000000000000000;22.193225982897566000;-1.103178821268003600;-1.103178821268003600;25;18;22;0.0;16;A;hydration8
3;0.000000000000000000;58.602395893465010000;-2.608726616484126700;-2.608726616484126700;26;19;23;0.0;17;A;joakim_arvidsson
3;0.000000000000000000;577.815681111506100000;-26.657315274764244000;-26.657315274764244000;21;15;24;0.0;18;A;lazer_001
3;0.000000000000000000;263.954234752494360000;-17.661687952035045000;-17.661687952035045000;24;17;25;0.0;19;A;nopaixx
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;27;;26;0.0;;?;gba
3;0.000000000000000000;415.114507538431270000;-5.679488049080724500;-5.679488049080724500;46;37;27;0.0;20;A;ipad_pro
3;0.000000000000000000;366.625665013255600000;-1.070257768877495500;-1.070257768877495500;48;39;28;0.0;21;A;lottery_of_babylon
3;0.000000000000000000;821.534950759712300000;-39.144277194209174000;-39.144277194209174000;22;16;29;0.0;22;A;lazer_006
3;0.000000000000000000;1.492628640791351000;-0.039150103115603734;-0.039150103115603734;33;25;30;0.0;23;A;yrousset6
3;0.000000000000000000;0.010000000000000000;-0.000707142971219053;-0.000707142971219053;20;14;31;0.0;24;A;mix1
3;0.000000000000000000;0.029951475545209834;-0.000534379949964625;-0.000534379949964625;50;41;32;0.0;25;A;ph_013
2;0.000000000000000000;110.431070506309820000;-3.472258549951750400;-3.472258549951750400;37;29;33;0.0;26;B;big_turkey
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;23;;34;0.0;;?;dera_m8
2;0.000000000000000000;32.480725310666540000;-1.388194022713709700;-1.388194022713709700;36;28;35;0.0;27;B;lazer_103
2;0.000000000000000000;38.726664498375820000;-1.811446770568598400;-1.811446770568598400;32;24;36;0.0;28;B;lazer_101
2;0.000000000000000000;87.217290523885210000;-4.432258577082869000;-4.432258577082869000;30;22;37;0.0;29;B;lazer_008
2;0.000000000000000000;4.683581975998369500;-0.303229801952561660;-0.303229801952561660;29;21;38;0.0;30;B;cosine
2;0.000000000000000000;0.943791180679670600;-0.088747368110392520;-0.088747368110392520;18;12;39;0.0;31;B;victoria
2;0.000000000000000000;517.829108605544800000;-7.504332118541638000;-7.504332118541638000;77;64;40;0.0;32;B;mistborn
2;0.000000000000000000;138.872643301516000000;-6.996969862556647000;-6.996969862556647000;34;26;41;0.0;33;B;lazer_007
2;0.000000000000000000;60.791428359149286000;-3.590414714960269000;-3.590414714960269000;38;30;42;0.0;34;B;player1
2;0.000000000000000000;0.010000000000000000;-0.000629721356829222;-0.000629721356829222;35;27;43;0.0;35;B;lgb_66
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;98;;44;0.0;;?;maximum_mc
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;107;;45;0.0;;?;rootmdl02
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;53;;46;0.0;;?;kp02
2;0.000000000000000000;0.068824659500245730;-0.003848349709068885;-0.003848349709068885;64;52;47;0.0;36;B;hiro_adaboost
2;0.000000000000000000;3.021721698288083700;-0.009178298862979065;-0.009178298862979065;55;45;48;0.0;37;B;intensifai_010
2;0.000000000000000000;43.845262318819216000;-0.365525338584043700;-0.365525338584043700;69;57;49;0.0;38;B;stupidrobot
2;0.000000000000000000;0.014449855138686756;0.000216588844088882;0.000216588844088882;117;96;50;0.0;39;B;hackerbot2_bis
2;0.000000000000000000;0.039379251965244264;-0.002607284267559332;-0.002607284267559332;31;23;51;0.0;40;B;uuazed10
2;0.000000000000000000;11.229141024506847000;-0.000001402263152336;-0.000001402263152336;76;63;52;0.0;41;B;fedeai_test1
2;0.000000000000000000;308.606212371936460000;-7.508673106822581000;-7.508673106822581000;52;43;53;0.0;42;B;walkingdead
2;0.000000000000000000;15.610394600040040000;-0.818111123911685500;-0.818111123911685500;41;33;54;0.0;43;B;david_plutus_3
2;0.000000000000000000;121.974458660826410000;-9.875201410374777000;-9.875201410374777000;39;31;55;0.0;44;B;biojap_00
2;0.000000000000000000;3.023154818888312600;-0.041222615688867946;-0.041222615688867946;68;56;56;0.0;45;B;intensifai_008
2;0.000000000000000000;206.580911450290100000;-7.192845881885502000;-7.192845881885502000;42;34;57;0.0;46;B;all_bubble_3
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;44;;58;0.0;;?;uuazed11
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;60;;59;0.0;;?;hawkingaling
2;0.000000000000000000;40.018429255749720000;-1.196923266661012100;-1.196923266661012100;40;32;60;0.0;47;B;m_test_tendies
2;0.000000000000000000;4.123802033932323000;-0.260911968584677400;-0.260911968584677400;58;48;61;0.0;48;B;dnet
2;0.000000000000000000;33.963659122930856000;0.725813252813381000;0.725813252813381000;70;58;62;0.0;49;B;all_bubble_4
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;78;;63;0.0;;?;innmrwetrust
2;0.000000000000000000;114.666671399418390000;-1.699448478342151000;-1.699448478342151000;128;106;64;0.0;50;B;mediocrity
2;0.000000000000000000;238.598540664641900000;-10.366056031459916000;-10.366056031459916000;67;55;65;0.0;51;B;daycare
2;0.000000000000000000;0.022097054734816456;-0.001030834230463868;-0.001030834230463868;49;40;66;0.0;52;B;jason_jameson
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;61;;67;0.0;;?;dlkl7
2;0.000000000000000000;917.603601555040700000;-66.756830500781150000;-66.756830500781150000;51;42;68;0.0;53;B;mattiasl_model2
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;120;;69;0.0;;?;ernestxxx_opt
2;0.000000000000000000;1078.969067475416500000;-17.773977032227660000;-17.773977032227660000;93;78;70;0.0;54;B;lucky_chicken2
2;0.000000000000000000;0.021866784530746516;-0.001775123793518939;-0.001775123793518939;47;38;71;0.0;55;B;model_3
2;0.000000000000000000;414.505311271276070000;-3.453356350799131400;-3.453356350799131400;142;118;72;0.0;56;B;pizzadragon
2;0.000000000000000000;0.087661653341814830;-0.007341158588772037;-0.007341158588772037;43;35;73;0.0;57;B;jp001
2;0.000000000000000000;1480.426576085032800000;-70.000589856676780000;-70.000589856676780000;62;50;74;0.0;58;B;halsmith99
2;0.000000000000000000;3.444906821069653600;-0.146074495176961400;-0.146074495176961400;57;47;75;0.0;59;B;model_c
2;0.000000000000000000;374.481679592902600000;-0.680177862819180400;-0.680177862819180400;217;182;76;0.0;60;B;sauce_files
2;0.000000000000000000;0.036800416389087120;-0.000492984254469999;-0.000492984254469999;146;121;77;0.0;61;B;ernest003_tab
2;0.000000000000000000;26.400485499030330000;-1.315820669276374800;-1.315820669276374800;59;49;78;0.0;62;B;hackerbot2
2;0.000000000000000000;19.335765229800970000;-2.180866004425296000;-2.180866004425296000;56;46;79;0.0;63;B;alfaprism_3
2;0.000000000000000000;80.830742164792780000;-4.223596712161866000;-4.223596712161866000;88;74;80;0.0;64;B;dupli_test_2
2;0.000000000000000000;46.003592942733600000;-3.024145895742252200;-3.024145895742252200;65;53;81;0.0;65;B;qb3
2;0.000000000000000000;3.879780585233082200;-0.201724720272377620;-0.201724720272377620;66;54;82;0.0;66;B;celia3
2;0.000000000000000000;204.875453312053100000;0.041163651148459580;0.041163651148459580;155;129;83;0.0;67;B;wallingford_nut
2;0.000000000000000000;0.021559393816869082;-0.000834813300518159;-0.000834813300518159;106;89;84;0.0;68;B;iridium
2;0.000000000000000000;3.022935992234544700;-0.017015685955079365;-0.017015685955079365;112;92;85;0.0;69;B;intensifai_015
2;0.000000000000000000;26.546644834051406000;-0.346596433326701040;-0.346596433326701040;135;113;86;0.0;70;B;tomclarke1916
2;0.000000000000000000;3025.991350656901000000;-140.611893301370830000;-140.611893301370830000;73;60;87;0.0;71;B;prophet669
2;0.000000000000000000;3.481839735959802300;-0.140117362155658600;-0.140117362155658600;81;67;88;0.0;72;B;feynmanimo
2;0.000000000000000000;316.998904303053730000;-19.162572680226777000;-19.162572680226777000;63;51;89;0.0;73;B;datacon
2;0.000000000000000000;10.016665689528471000;-0.694844567189100000;-0.694844567189100000;72;59;90;0.0;74;B;botarai3
2;0.000000000000000000;60.833633923918850000;0.662276515500774600;0.662276515500774600;141;117;91;0.0;75;B;gaussnewton_torch3
2;0.000000000000000000;23.674301084878614000;-1.316167558609099500;-1.316167558609099500;75;62;92;0.0;76;B;stephanos
2;0.000000000000000000;0.024828407022067813;-0.001255088284297324;-0.001255088284297324;79;65;93;0.0;77;B;yrousset12
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;218;;94;0.0;;?;supernovalx
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;111;;95;0.0;;?;aithia8
2;0.000000000000000000;26.003680499823820000;-0.906264377937924100;-0.906264377937924100;74;61;96;0.0;78;B;whiskers
0;0.000000000000000000;0.000000000000000000;0.000000000000000000;0.000000000000000000;161;;97;0.0;;?;discover04
